p,1,2,3,4,5,6,7,8
1,2,3,4,2,3,2,2,3
2,2,3,4,2,3,3,3,3
3,3,4,5,3,4,3,3,4
4,3,5,4,4,5,0,1,4
5,3,4,3,3,4,1,1,3
6,2,4,4,3,4,2,2,4
7,1,4,5,3,4,3,3,4
8,2,5,4,4,5,2,2,4
9,3,5,4,4,5,2,1,4
10,3,5,4,4,5,1,0,4
11,2,5,5,4,5,2,2,5
12,1,4,5,3,4,2,2,4
13,2,5,5,4,5,1,1,5
14,2,5,4,4,5,1,2,4
15,1,4,5,3,4,2,3,4
16,1,3,4,2,3,3,4,3
17,2,3,4,2,2,4,4,3
18,4,2,2,3,1,5,5,3
19,5,3,3,4,2,6,6,4
20,4,3,3,3,2,6,6,4
21,3,3,4,2,1,5,5,3
22,3,2,3,2,0,5,5,3
23,3,1,2,2,1,5,5,3
24,4,1,1,2,2,4,4,2
25,3,0,1,1,2,5,5,2
26,0,3,4,2,3,3,3,3
27,2,2,3,1,1,4,4,2
28,1,2,3,1,2,3,3,2
29,4,1,0,2,3,4,4,2
30,3,1,1,1,3,4,4,1
31,3,2,2,1,3,4,4,0
32,2,1,2,0,2,4,4,1
33,2,2,3,1,3,4,4,1
34,3,3,2,2,4,3,3,1
35,4,2,1,2,3,3,3,1
36,4,3,2,3,4,2,2,2
