s,p,0,1,2,3,4,5,6,7,8,9,10
0,1,2237.8055,2375.242446,2516.899803,2662.90717,2813.398127,2968.510357,3128.385769,3293.170631,3463.015703,3638.076372,3818.5128
0,2,1631.33275,1711.887736,1794.431619,1879.013505,1965.683712,2054.4938,2145.496603,2238.74626,2334.298243,2432.209399,2532.537974
0,3,445.942,475.0387358,505.0847206,536.1109227,568.1493205,601.2329359,635.3958678,670.6733279,707.1016764,744.7184598,783.5624493
0,4,1860.0705,1888.50774,1917.162359,1946.036017,1975.130389,2004.447162,2033.988037,2063.754725,2093.748954,2123.972463,2154.427005
0,5,2004.37545,2131.793488,2263.261505,2398.90823,2538.866482,2683.273303,2832.270091,2986.002738,3144.621773,3308.282509,3477.145198
0,6,1895.9886,1945.906331,1996.481181,2047.7218,2099.636953,2152.235518,2205.526493,2259.518993,2314.222252,2369.645626,2425.798596
0,7,1298.58705,1308.769229,1318.991327,1329.2535,1339.555907,1349.898703,1360.282049,1370.706102,1381.171023,1391.676971,1402.224107
0,8,1506.05975,1506.233081,1506.406422,1506.579773,1506.753134,1506.926505,1507.099886,1507.273276,1507.446677,1507.620088,1507.793509
0,9,1726.99125,1746.820922,1766.764438,1786.822452,1806.995621,1827.284607,1847.690074,1868.21269,1888.853129,1909.612067,1930.490184
0,10,2190.24675,2257.863968,2326.524925,2396.245731,2467.042746,2538.932582,2611.932108,2686.058454,2761.329013,2837.761447,2915.373691
0,11,601.1013,602.0003255,602.9000232,603.8003938,604.7014377,605.6031554,606.5055475,607.4086143,608.3123565,609.2167745,610.1218688
0,12,463.43505,472.3388114,481.3281047,490.4037516,499.5665816,508.8174321,518.1571488,527.5865853,537.1066035,546.7180735,556.4218739
0,13,852.5663,826.108948,800.0621162,774.4194349,749.1746332,724.3215375,699.8540699,675.7662469,652.0521778,628.7060634,605.7221944
0,14,962.4608,1014.710134,1068.377704,1123.502007,1180.122582,1238.280044,1298.01611,1359.373629,1422.396613,1487.130269,1553.62103
0,15,855.53875,843.2661804,831.0816348,818.9844819,806.9740949,795.0498514,783.2111337,771.4573282,759.787826,748.2020223,736.699317
0,16,113.896,121.8275014,130.0351703,138.5286223,147.3178083,156.4130254,165.8249294,175.5645469,185.6432887,196.0729627,206.8657881
0,17,209.26815,209.26815,209.26815,209.26815,209.26815,209.26815,209.26815,209.26815,209.26815,209.26815,209.26815
0,18,604.494,654.1711665,705.8895615,759.733059,815.7889791,874.1482299,934.9054552,998.1591872,1064.012007,1132.570711,1203.946484
0,19,616.63145,624.4799964,632.3784914,640.3272528,648.3266005,656.3768565,664.4783446,672.6313911,680.8363239,689.0934734,697.4031717
0,20,533.3148,540.0996877,546.9277345,553.7992149,560.714405,567.6735831,574.6770289,581.725024,588.8178518,595.9557974,603.1391478
0,21,687.48,730.5803761,775.0318042,820.8766351,868.1585475,916.922589,967.2152193,1019.084355,1072.579413,1127.751362,1184.652766
