p,1,2,3,4,5,6,7,8
1,3.07,5.33,5.64,6.1,4.67,4.01,3.52,5.85
2,3.03,4.98,5.3,5.75,4.36,5.75,5.05,5.61
3,6.93,9.23,9.55,10,8.61,8.05,7.6,9.86
4,1.78,3.03,2.54,3.73,2.51,0.38,0.8,3.48
5,4.08,6.38,5.78,7.14,5.82,2.75,2.33,6.97
6,1.92,4.22,4.56,5.02,3.62,2.61,2.13,4.81
7,1.08,3.38,3.73,4.18,2.79,1.64,1.53,4.18
8,1.74,4.08,4.39,5.89,3.41,1.74,1.29,4.56
9,2.2,4.53,4.84,5.3,3.87,1.11,0.91,5.16
10,1.78,3.28,3.34,4.04,2.68,0.73,0.52,4.7
11,1.08,3.38,3.73,4.15,2.75,1.08,1.11,3.97
12,0.91,3.07,3.38,3.83,2.44,1.25,1.36,3.8
13,1.39,2.72,2.68,3.48,2.16,0.45,0.77,3.34
14,1.29,2.4,2.13,3.17,1.85,0.87,1.29,3.03
15,0.94,2.51,2.86,3.28,1.88,1.11,1.53,3.76
16,1.01,2.06,2.37,2.82,1.43,1.64,2.06,2.65
17,1.18,1.74,2.06,2.51,1.08,1.92,2.33,2.3
18,2.23,1.39,0.91,2.26,0.94,2.13,2.54,2.16
19,2.02,1.22,1.32,1.99,0.66,1.95,2.37,1.81
20,2.37,1.43,1.05,2.2,0.84,2.47,2.89,2.06
21,1.57,1.53,1.57,2.3,0.49,2.09,2.51,2.09
22,2.09,0.98,1.25,1.74,0.21,2.68,3.14,2.09
23,2.58,0.7,0.73,1.46,0.66,2.58,3,1.29
24,2.75,0.91,0.42,1.81,0.84,2.26,2.72,1.5
25,2.61,0.52,0.49,1.15,1.05,3.14,3.59,0.94
26,0.45,2.61,2.93,3.38,1.92,1.39,1.81,3.52
27,2.06,0.8,1.36,2.09,0.38,3,3.41,1.64
28,2.75,1.22,1.85,2.2,1.74,4.11,4.53,2.09
29,3,0.91,0.14,1.53,1.29,2.72,3.14,1.36
30,3.14,0.84,0.28,1.05,1.43,3,3.41,0.91
31,3.73,1.39,0.84,0.73,1.99,3.28,3.69,0.56
32,3.62,1.32,1.67,0.28,1.88,4.25,4.7,0.8
33,4.98,2.68,3.03,1.81,3.24,5.68,6.1,1.99
34,7.18,4.88,5.23,4.01,5.44,7.87,8.29,4.08
35,3.76,1.67,1.15,1.85,2.26,2.79,3.21,1.6
36,3.83,3.73,3.24,4.43,3.24,2.4,2.82,4.18
